date,developedcountries,developingcountries,africa,asiaoceania,america
08/16/2019,97.13949408132898,99.13327720271408,98.56164992247416,99.56475238971623,100
08/17/2019,97.13949408132898,99.13327720271408,98.56164992247416,99.56475238971623,100
08/18/2019,97.13949408132898,99.13327720271408,98.56164992247416,99.56475238971623,100
08/19/2019,97.06081418442864,99.1568073459297,97.87489228422352,99.59731665609212,100
08/20/2019,97.00377023730316,99.25909784266726,97.93186719152118,99.55979371651412,100
08/21/2019,97.04358630176498,99.2266637621174,97.89469166160556,99.65221542018595,100
08/22/2019,96.92960586820904,99.1568073459297,97.90121422345013,99.5131270660894,100
08/23/2019,97.17510358694084,99.1568073459297,97.80737168224056,99.6442298300491,100
08/24/2019,97.17510358694084,99.1568073459297,97.80737168224056,99.6442298300491,100
08/25/2019,97.17510358694084,99.1568073459297,97.80737168224056,99.6442298300491,100
08/26/2019,97.21830164145764,99.07558455682435,98.10565622573252,99.33807305802532,100
08/27/2019,97.10930041517727,98.9915712013394,97.83994200138488,99.56682336789947,100
08/28/2019,96.88666393469856,99.02983977656918,97.78766877195704,99.56234414188528,100
08/29/2019,96.80732158073548,98.9899558556982,97.77439520983668,99.25288060321012,100
08/30/2019,96.33504393982776,98.3637039791744,97.73875738622957,99.59734900635355,100
08/31/2019,96.33504393982776,98.3637039791744,97.73875738622957,99.59734900635355,100
09/01/2019,96.33504393982776,98.3637039791744,97.73875738622957,99.59734900635355,100
09/02/2019,95.94095131554414,98.24250396736112,97.53008350119902,99.31828058842456,100
09/03/2019,95.89782942337206,98.295843422906,97.62268592907724,99.395344996459,100
09/04/2019,96.48379767498292,98.58023333851834,97.99195172132376,99.21242636038,100
09/05/2019,96.60633234309948,98.63945578231294,97.96215198216017,99.51738165830682,100
09/06/2019,96.64155195651692,98.87130146906684,97.83393957197956,99.3385964022884,100
09/07/2019,96.64155195651692,98.87130146906684,97.83393957197956,99.3385964022884,100
09/08/2019,96.64155195651692,98.87130146906684,97.83393957197956,99.3385964022884,100
09/09/2019,96.7249004865104,98.82570403392408,98.2202257231819,99.65397568295865,100
09/10/2019,96.58393322439606,98.65905940753636,98.23652282418928,99.4714290002439,100
09/11/2019,96.19944135306925,98.83286817209756,98.09272037423506,99.59602044690254,100
09/12/2019,96.4923117650952,98.796992481203,98.50412957245126,99.51239321727824,100
09/13/2019,96.96076258035912,99.13327720271408,98.51281736769616,99.40462114394126,100
09/14/2019,96.96076258035912,99.13327720271408,98.51281736769616,99.40462114394126,100
09/15/2019,96.96076258035912,99.13327720271408,98.51281736769616,99.40462114394126,100
09/16/2019,96.2036731551743,98.75338753387534,98.24789984538536,99.65243134506382,100
09/17/2019,96.65863737817948,98.69243736751623,98.142846097391,99.6654147810981,100
09/18/2019,96.74629506746297,98.65996804184952,98.1858695330034,99.523592063848,100
09/19/2019,96.71955331969706,98.68208569510016,98.31710762349492,99.36438521445704,100
09/20/2019,96.32655757922788,98.64912904372557,98.30414627225184,99.63482923770458,100
09/21/2019,96.32655757922788,98.64912904372557,98.30414627225184,99.63482923770458,100
